task_name,task_type,priority,duration_minutes,day_of_week,best_time_slot
UI Testing,planning,high,116,Thursday,Morning
Unit Testing,testing,high,166,Friday,Evening
Design Mockup,review,low,102,Wednesday,Afternoon
Team Meeting,coding,medium,42,Friday,Morning
Client Call,planning,low,35,Monday,Afternoon
UI Testing,planning,high,93,Thursday,Afternoon
UI Testing,meeting,high,168,Sunday,Evening
Bug Fixing,planning,low,29,Monday,Afternoon
Design Mockup,review,medium,107,Sunday,Morning
Product Demo,review,medium,110,Saturday,Evening
Bug Fixing,meeting,low,179,Monday,Afternoon
Bug Fixing,meeting,low,45,Saturday,Afternoon
Database Backup,meeting,high,138,Sunday,Afternoon
Client Call,planning,low,80,Friday,Morning
Daily Standup,writing,high,163,Thursday,Evening
Design Mockup,testing,medium,159,Tuesday,Evening
Sprint Planning,meeting,low,57,Monday,Morning
UI Testing,testing,medium,116,Friday,Evening
Unit Testing,coding,medium,128,Monday,Morning
Code Review,writing,medium,107,Monday,Afternoon
Design Mockup,meeting,medium,180,Tuesday,Afternoon
Unit Testing,testing,high,43,Tuesday,Morning
UI Testing,planning,high,61,Monday,Evening
Sprint Planning,review,medium,63,Sunday,Afternoon
Daily Standup,planning,high,126,Thursday,Evening
Code Review,coding,high,126,Wednesday,Afternoon
Sprint Planning,review,high,155,Friday,Afternoon
Bug Fixing,writing,low,86,Friday,Evening
Sprint Planning,coding,medium,50,Thursday,Evening
Sprint Planning,meeting,low,72,Saturday,Morning
Sprint Planning,testing,high,72,Tuesday,Evening
Design Mockup,testing,low,100,Monday,Afternoon
Database Backup,coding,medium,61,Tuesday,Evening
Team Meeting,review,medium,109,Saturday,Morning
Design Mockup,writing,low,62,Monday,Afternoon
Client Call,testing,low,122,Tuesday,Morning
Sprint Planning,writing,high,32,Thursday,Afternoon
Product Demo,testing,low,88,Wednesday,Afternoon
Documentation,coding,low,22,Sunday,Evening
Team Meeting,coding,high,143,Wednesday,Afternoon
Team Meeting,writing,high,135,Saturday,Morning
Bug Fixing,meeting,medium,180,Tuesday,Morning
Client Call,meeting,high,58,Monday,Evening
UI Testing,writing,low,145,Wednesday,Evening
Design Mockup,coding,low,69,Tuesday,Evening
UI Testing,testing,medium,169,Tuesday,Afternoon
Bug Fixing,coding,low,146,Thursday,Afternoon
Unit Testing,review,high,118,Sunday,Morning
UI Testing,planning,low,175,Monday,Afternoon
Code Review,testing,high,90,Tuesday,Afternoon
Documentation,testing,high,45,Tuesday,Evening
Product Demo,coding,medium,75,Sunday,Evening
Design Mockup,coding,medium,132,Friday,Evening
Bug Fixing,coding,medium,79,Wednesday,Morning
Unit Testing,planning,low,103,Wednesday,Evening
Client Call,writing,medium,131,Saturday,Morning
Daily Standup,testing,high,128,Monday,Evening
Sprint Planning,review,high,58,Saturday,Afternoon
Design Mockup,meeting,low,35,Friday,Afternoon
Client Call,planning,low,63,Monday,Morning
Code Review,writing,low,32,Sunday,Evening
Daily Standup,coding,medium,171,Thursday,Afternoon
Product Demo,review,high,144,Thursday,Afternoon
Team Meeting,meeting,medium,164,Sunday,Morning
Sprint Planning,meeting,high,90,Friday,Afternoon
Client Call,planning,medium,53,Tuesday,Morning
Daily Standup,writing,medium,41,Wednesday,Evening
Sprint Planning,review,high,102,Monday,Afternoon
Client Call,testing,low,161,Wednesday,Morning
Design Mockup,testing,low,174,Thursday,Evening
Code Review,review,high,62,Sunday,Afternoon
Product Demo,planning,low,96,Saturday,Afternoon
Database Backup,testing,low,101,Sunday,Evening
Design Mockup,review,high,50,Saturday,Morning
Client Call,planning,high,148,Friday,Evening
Daily Standup,writing,low,139,Tuesday,Morning
Product Demo,meeting,low,157,Wednesday,Morning
Database Backup,testing,high,88,Monday,Afternoon
Product Demo,meeting,medium,59,Thursday,Morning
Sprint Planning,review,high,94,Sunday,Morning
Design Mockup,testing,high,110,Saturday,Evening
Documentation,meeting,low,134,Friday,Evening
Code Review,coding,high,146,Saturday,Evening
Sprint Planning,testing,low,150,Friday,Afternoon
Daily Standup,review,high,180,Friday,Evening
Team Meeting,planning,low,100,Monday,Evening
Daily Standup,review,high,177,Monday,Evening
Team Meeting,review,high,113,Friday,Afternoon
Daily Standup,review,low,77,Thursday,Evening
Code Review,meeting,low,75,Friday,Afternoon
Database Backup,planning,medium,127,Wednesday,Afternoon
Database Backup,review,medium,51,Saturday,Evening
Product Demo,review,medium,162,Thursday,Morning
Design Mockup,coding,medium,127,Thursday,Afternoon
Daily Standup,testing,low,33,Monday,Afternoon
Team Meeting,review,low,33,Friday,Afternoon
Team Meeting,coding,medium,69,Tuesday,Morning
Product Demo,testing,high,162,Monday,Afternoon
Team Meeting,writing,medium,91,Tuesday,Evening
Sprint Planning,planning,high,155,Tuesday,Afternoon
Database Backup,coding,high,150,Sunday,Evening
Product Demo,writing,medium,111,Thursday,Morning
Sprint Planning,coding,high,125,Wednesday,Evening
Unit Testing,meeting,high,173,Tuesday,Morning
UI Testing,meeting,low,41,Sunday,Evening
Database Backup,coding,low,71,Saturday,Evening
Sprint Planning,review,medium,35,Tuesday,Afternoon
Design Mockup,planning,medium,80,Tuesday,Evening
Documentation,writing,medium,60,Thursday,Afternoon
UI Testing,planning,medium,87,Friday,Morning
Sprint Planning,writing,high,42,Sunday,Morning
Daily Standup,review,low,177,Monday,Evening
Product Demo,testing,low,150,Monday,Evening
Documentation,testing,medium,61,Tuesday,Afternoon
Design Mockup,planning,medium,174,Tuesday,Evening
Unit Testing,planning,high,134,Monday,Evening
Bug Fixing,testing,medium,119,Thursday,Evening
Unit Testing,writing,high,68,Sunday,Evening
Bug Fixing,writing,medium,125,Monday,Evening
Bug Fixing,review,medium,114,Wednesday,Morning
UI Testing,meeting,medium,63,Wednesday,Afternoon
Client Call,planning,low,169,Wednesday,Evening
Design Mockup,writing,low,60,Wednesday,Morning
Bug Fixing,coding,medium,102,Tuesday,Evening
Sprint Planning,testing,low,127,Saturday,Evening
UI Testing,coding,high,166,Thursday,Afternoon
Design Mockup,review,high,73,Monday,Morning
Design Mockup,writing,medium,146,Friday,Afternoon
Bug Fixing,review,medium,35,Thursday,Morning
Client Call,testing,medium,127,Monday,Evening
Team Meeting,review,medium,56,Monday,Morning
Product Demo,testing,medium,127,Friday,Afternoon
Team Meeting,planning,low,73,Sunday,Morning
Bug Fixing,meeting,medium,54,Friday,Evening
Design Mockup,meeting,low,160,Thursday,Afternoon
Code Review,writing,medium,124,Tuesday,Evening
Sprint Planning,writing,medium,151,Sunday,Morning
Unit Testing,planning,high,37,Wednesday,Morning
Database Backup,testing,high,121,Monday,Morning
UI Testing,planning,high,146,Thursday,Afternoon
Database Backup,writing,low,116,Friday,Afternoon
Product Demo,writing,high,167,Tuesday,Morning
Documentation,planning,medium,175,Sunday,Afternoon
Client Call,planning,medium,138,Wednesday,Evening
Unit Testing,planning,medium,105,Thursday,Afternoon
Documentation,planning,medium,39,Friday,Evening
Sprint Planning,meeting,low,99,Friday,Afternoon
Code Review,planning,high,108,Friday,Evening
Daily Standup,review,high,92,Tuesday,Morning
UI Testing,testing,medium,96,Saturday,Evening
Database Backup,testing,medium,52,Sunday,Morning
Client Call,coding,high,76,Friday,Evening
Product Demo,coding,medium,105,Monday,Afternoon
Team Meeting,meeting,medium,165,Monday,Morning
Sprint Planning,writing,high,80,Sunday,Afternoon
Sprint Planning,testing,high,45,Monday,Morning
Database Backup,review,medium,66,Sunday,Afternoon
Client Call,coding,low,166,Tuesday,Morning
Unit Testing,testing,medium,116,Monday,Evening
Code Review,writing,medium,129,Wednesday,Morning
Sprint Planning,writing,medium,120,Wednesday,Evening
Daily Standup,meeting,medium,158,Saturday,Afternoon
Code Review,writing,high,118,Friday,Morning
Bug Fixing,testing,low,41,Thursday,Morning
Team Meeting,writing,low,27,Friday,Evening
Documentation,writing,high,175,Thursday,Evening
Documentation,testing,medium,116,Saturday,Afternoon
Client Call,planning,high,149,Sunday,Evening
Documentation,planning,medium,178,Monday,Afternoon
Design Mockup,testing,medium,161,Wednesday,Morning
Team Meeting,coding,high,46,Sunday,Evening
Product Demo,coding,high,108,Friday,Evening
Bug Fixing,planning,low,174,Sunday,Afternoon
Code Review,coding,low,48,Tuesday,Evening
UI Testing,testing,low,42,Sunday,Morning
Client Call,coding,low,23,Wednesday,Morning
Documentation,review,low,81,Friday,Afternoon
Product Demo,coding,high,151,Monday,Afternoon
UI Testing,coding,high,175,Wednesday,Morning
Bug Fixing,review,high,42,Wednesday,Morning
UI Testing,meeting,low,89,Thursday,Afternoon
Product Demo,testing,low,76,Sunday,Morning
Client Call,planning,high,64,Wednesday,Evening
Unit Testing,coding,medium,170,Thursday,Afternoon
Daily Standup,coding,high,103,Monday,Morning
Product Demo,testing,medium,121,Thursday,Morning
Unit Testing,meeting,high,75,Sunday,Afternoon
Design Mockup,planning,medium,27,Wednesday,Morning
Daily Standup,planning,medium,85,Wednesday,Evening
Sprint Planning,writing,high,75,Friday,Afternoon
Team Meeting,testing,medium,66,Saturday,Morning
Documentation,meeting,low,93,Monday,Afternoon
Database Backup,writing,medium,104,Wednesday,Afternoon
Client Call,meeting,high,128,Sunday,Evening
Client Call,meeting,low,33,Thursday,Afternoon
Bug Fixing,review,low,166,Monday,Evening
Bug Fixing,review,medium,106,Friday,Evening
Daily Standup,testing,high,72,Thursday,Afternoon
UI Testing,meeting,high,86,Saturday,Morning
Code Review,testing,medium,92,Sunday,Morning
Sprint Planning,meeting,high,107,Wednesday,Morning
Unit Testing,writing,high,71,Friday,Afternoon
Team Meeting,planning,medium,126,Wednesday,Evening
Daily Standup,meeting,medium,65,Friday,Evening
Bug Fixing,review,high,98,Monday,Afternoon
Unit Testing,planning,low,138,Sunday,Evening
Sprint Planning,writing,medium,142,Thursday,Evening
Daily Standup,review,low,149,Tuesday,Morning
UI Testing,testing,medium,34,Saturday,Evening
Code Review,testing,high,121,Thursday,Afternoon
Code Review,testing,high,167,Sunday,Morning
UI Testing,review,medium,175,Tuesday,Evening
Product Demo,writing,medium,44,Tuesday,Afternoon
Design Mockup,writing,medium,151,Monday,Morning
Unit Testing,testing,low,105,Wednesday,Afternoon
Sprint Planning,testing,high,127,Tuesday,Evening
Product Demo,coding,high,28,Saturday,Afternoon
Team Meeting,meeting,medium,105,Friday,Evening
Daily Standup,planning,medium,141,Monday,Evening
Sprint Planning,planning,high,131,Saturday,Afternoon
Sprint Planning,planning,low,160,Wednesday,Afternoon
Code Review,meeting,low,25,Thursday,Morning
Product Demo,coding,low,60,Tuesday,Morning
Unit Testing,review,low,85,Saturday,Evening
Product Demo,planning,low,120,Tuesday,Afternoon
Code Review,coding,high,39,Thursday,Afternoon
Team Meeting,review,low,154,Monday,Evening
UI Testing,writing,high,61,Saturday,Afternoon
Bug Fixing,planning,low,157,Monday,Afternoon
Code Review,meeting,high,125,Friday,Evening
Design Mockup,review,low,62,Thursday,Morning
Client Call,coding,low,52,Sunday,Evening
Documentation,review,low,74,Monday,Afternoon
UI Testing,writing,high,75,Monday,Morning
Documentation,writing,medium,46,Sunday,Afternoon
Team Meeting,review,high,111,Thursday,Morning
Client Call,meeting,high,81,Thursday,Afternoon
Product Demo,coding,low,144,Monday,Evening
Unit Testing,planning,medium,150,Wednesday,Morning
Bug Fixing,review,medium,26,Sunday,Evening
UI Testing,review,low,142,Sunday,Afternoon
Documentation,planning,high,159,Sunday,Morning
Client Call,planning,low,101,Sunday,Evening
Sprint Planning,writing,low,83,Saturday,Morning
Database Backup,review,low,180,Thursday,Morning
Database Backup,review,high,152,Sunday,Morning
Sprint Planning,meeting,high,26,Wednesday,Afternoon
Code Review,review,low,107,Thursday,Afternoon
Client Call,meeting,high,58,Wednesday,Evening
UI Testing,meeting,low,116,Saturday,Afternoon
Documentation,planning,high,144,Friday,Afternoon
Daily Standup,coding,low,20,Friday,Afternoon
Team Meeting,coding,low,119,Thursday,Evening
Daily Standup,meeting,medium,142,Monday,Afternoon
Database Backup,meeting,low,91,Thursday,Afternoon
Team Meeting,testing,high,168,Thursday,Morning
Team Meeting,coding,medium,73,Thursday,Morning
Sprint Planning,testing,medium,75,Thursday,Evening
Daily Standup,planning,high,54,Monday,Morning
Sprint Planning,meeting,high,46,Saturday,Evening
Design Mockup,meeting,high,104,Tuesday,Morning
Client Call,review,low,117,Wednesday,Afternoon
Team Meeting,meeting,low,101,Thursday,Morning
Team Meeting,coding,medium,157,Saturday,Evening
Daily Standup,planning,low,62,Sunday,Afternoon
Documentation,coding,high,151,Sunday,Morning
UI Testing,testing,high,20,Saturday,Afternoon
Documentation,writing,medium,176,Monday,Morning
Design Mockup,writing,medium,173,Sunday,Morning
UI Testing,meeting,low,81,Sunday,Morning
Team Meeting,testing,high,36,Wednesday,Evening
Client Call,coding,low,161,Friday,Evening
Design Mockup,writing,low,136,Saturday,Evening
Product Demo,planning,medium,130,Tuesday,Morning
Documentation,meeting,high,41,Wednesday,Morning
Product Demo,meeting,high,68,Tuesday,Morning
Product Demo,writing,high,129,Tuesday,Afternoon
Team Meeting,testing,medium,125,Monday,Morning
Code Review,planning,high,96,Saturday,Evening
Code Review,writing,low,120,Monday,Afternoon
Design Mockup,meeting,medium,112,Wednesday,Evening
Product Demo,meeting,low,69,Tuesday,Evening
Design Mockup,meeting,low,106,Tuesday,Evening
UI Testing,testing,high,25,Saturday,Morning
Daily Standup,writing,low,170,Thursday,Morning
Team Meeting,planning,high,118,Tuesday,Morning
Product Demo,meeting,low,140,Monday,Evening
Team Meeting,review,medium,28,Monday,Afternoon
Bug Fixing,planning,high,178,Thursday,Afternoon
Database Backup,planning,low,63,Wednesday,Evening
Bug Fixing,meeting,high,179,Monday,Afternoon
Product Demo,writing,low,51,Monday,Morning
Client Call,coding,high,104,Friday,Afternoon
Client Call,review,medium,97,Sunday,Afternoon
Code Review,writing,low,94,Wednesday,Evening
Database Backup,planning,medium,51,Sunday,Evening
Documentation,writing,high,149,Tuesday,Morning
Database Backup,coding,high,159,Tuesday,Morning
Daily Standup,review,high,58,Monday,Evening
Documentation,writing,low,94,Monday,Evening
Client Call,testing,high,75,Thursday,Morning
Sprint Planning,testing,low,136,Wednesday,Afternoon
Bug Fixing,meeting,medium,88,Monday,Evening
Bug Fixing,review,low,106,Monday,Afternoon
Daily Standup,meeting,low,45,Thursday,Afternoon
Bug Fixing,testing,high,149,Wednesday,Afternoon
UI Testing,review,medium,123,Saturday,Evening
Database Backup,meeting,low,21,Thursday,Morning
Client Call,review,high,175,Thursday,Evening
Sprint Planning,coding,high,171,Monday,Morning
Code Review,testing,high,128,Friday,Afternoon
Sprint Planning,testing,high,99,Sunday,Afternoon
Design Mockup,writing,medium,27,Thursday,Afternoon
Product Demo,meeting,high,128,Sunday,Morning
Product Demo,testing,low,52,Thursday,Afternoon
Unit Testing,coding,medium,56,Wednesday,Afternoon
Daily Standup,planning,low,27,Thursday,Evening
Team Meeting,coding,high,157,Sunday,Evening
Daily Standup,planning,medium,168,Friday,Morning
Bug Fixing,meeting,high,179,Monday,Afternoon
Sprint Planning,review,medium,58,Thursday,Morning
Team Meeting,planning,high,139,Thursday,Morning
Documentation,coding,medium,66,Wednesday,Evening
Client Call,review,medium,51,Tuesday,Morning
UI Testing,coding,low,62,Friday,Evening
Client Call,writing,medium,132,Monday,Morning
Team Meeting,coding,low,64,Wednesday,Evening
Design Mockup,review,low,155,Friday,Morning
Code Review,testing,high,27,Saturday,Afternoon
Daily Standup,planning,low,62,Wednesday,Morning
UI Testing,coding,low,51,Thursday,Afternoon
Client Call,writing,high,61,Sunday,Morning
Documentation,meeting,medium,86,Tuesday,Morning
Documentation,meeting,low,66,Monday,Afternoon
Documentation,planning,low,165,Sunday,Morning
Database Backup,review,high,37,Saturday,Afternoon
Documentation,testing,low,43,Saturday,Morning
Bug Fixing,review,medium,70,Tuesday,Morning
Unit Testing,testing,high,67,Wednesday,Morning
Database Backup,review,low,107,Sunday,Afternoon
Sprint Planning,review,low,101,Monday,Afternoon
Documentation,review,medium,97,Friday,Evening
Daily Standup,review,medium,98,Monday,Evening
Design Mockup,writing,high,83,Wednesday,Afternoon
Bug Fixing,testing,low,175,Wednesday,Evening
Team Meeting,planning,high,98,Tuesday,Afternoon
Bug Fixing,planning,medium,103,Thursday,Morning
UI Testing,meeting,medium,47,Thursday,Afternoon
Sprint Planning,testing,high,20,Saturday,Afternoon
Design Mockup,writing,medium,43,Saturday,Afternoon
Product Demo,meeting,low,146,Sunday,Afternoon
Daily Standup,review,medium,99,Thursday,Evening
UI Testing,writing,low,100,Tuesday,Morning
Documentation,review,high,107,Tuesday,Evening
Unit Testing,meeting,low,172,Thursday,Morning
Database Backup,review,low,82,Monday,Evening
Bug Fixing,meeting,low,99,Monday,Afternoon
Product Demo,testing,medium,121,Friday,Morning
Design Mockup,coding,low,180,Wednesday,Evening
Bug Fixing,coding,low,80,Tuesday,Evening
Documentation,meeting,low,141,Sunday,Morning
Sprint Planning,testing,medium,96,Monday,Afternoon
Database Backup,coding,medium,28,Tuesday,Evening
Bug Fixing,meeting,high,38,Friday,Morning
Daily Standup,writing,low,91,Tuesday,Evening
Product Demo,coding,low,48,Wednesday,Afternoon
Bug Fixing,meeting,medium,131,Thursday,Evening
Database Backup,planning,low,175,Wednesday,Evening
Code Review,writing,medium,120,Friday,Afternoon
Design Mockup,planning,high,168,Thursday,Evening
Documentation,meeting,medium,96,Thursday,Morning
Documentation,coding,low,115,Friday,Afternoon
Client Call,coding,medium,171,Friday,Afternoon
Bug Fixing,review,low,122,Sunday,Morning
Bug Fixing,coding,low,129,Wednesday,Evening
UI Testing,testing,high,79,Monday,Evening
Design Mockup,testing,low,159,Sunday,Afternoon
Daily Standup,coding,high,62,Tuesday,Afternoon
Daily Standup,testing,medium,25,Thursday,Morning
Unit Testing,testing,medium,154,Saturday,Evening
Documentation,meeting,low,86,Thursday,Evening
Bug Fixing,meeting,medium,125,Monday,Afternoon
Code Review,planning,low,89,Wednesday,Evening
Client Call,writing,high,111,Thursday,Afternoon
Daily Standup,testing,high,97,Sunday,Evening
Daily Standup,writing,high,73,Friday,Afternoon
Unit Testing,writing,high,129,Saturday,Morning
Sprint Planning,writing,high,77,Wednesday,Morning
Daily Standup,testing,medium,148,Saturday,Afternoon
Unit Testing,review,high,147,Friday,Evening
UI Testing,testing,low,87,Tuesday,Evening
Documentation,meeting,high,37,Thursday,Morning
Unit Testing,planning,low,74,Thursday,Evening
Client Call,review,medium,52,Thursday,Afternoon
UI Testing,meeting,low,159,Wednesday,Morning
Sprint Planning,meeting,medium,130,Friday,Morning
Daily Standup,meeting,medium,68,Wednesday,Morning
Team Meeting,review,medium,88,Tuesday,Evening
Database Backup,planning,medium,101,Sunday,Evening
Unit Testing,writing,high,76,Monday,Morning
Design Mockup,meeting,high,117,Sunday,Afternoon
Team Meeting,planning,high,154,Thursday,Evening
Bug Fixing,writing,low,178,Saturday,Morning
Database Backup,coding,high,138,Friday,Evening
Daily Standup,testing,medium,58,Saturday,Evening
Database Backup,meeting,low,129,Sunday,Morning
Sprint Planning,testing,medium,121,Saturday,Afternoon
Team Meeting,planning,low,25,Tuesday,Evening
UI Testing,testing,medium,78,Saturday,Morning
Database Backup,planning,medium,70,Sunday,Evening
Design Mockup,coding,high,144,Thursday,Afternoon
Client Call,planning,high,141,Sunday,Morning
Bug Fixing,testing,high,75,Friday,Afternoon
UI Testing,coding,high,68,Thursday,Afternoon
Product Demo,coding,low,79,Wednesday,Evening
Database Backup,testing,medium,152,Monday,Morning
UI Testing,coding,high,57,Monday,Afternoon
Bug Fixing,writing,high,46,Thursday,Afternoon
UI Testing,review,high,62,Sunday,Afternoon
Bug Fixing,review,medium,70,Saturday,Morning
Documentation,meeting,high,172,Saturday,Afternoon
Documentation,coding,high,69,Saturday,Morning
Documentation,coding,high,92,Sunday,Morning
Sprint Planning,meeting,high,154,Monday,Afternoon
UI Testing,review,medium,57,Monday,Evening
Team Meeting,planning,high,49,Tuesday,Morning
Team Meeting,coding,high,161,Friday,Evening
Database Backup,review,low,170,Wednesday,Evening
Daily Standup,coding,low,53,Saturday,Evening
Code Review,planning,high,169,Tuesday,Afternoon
Client Call,writing,low,118,Saturday,Evening
UI Testing,testing,low,98,Wednesday,Afternoon
Documentation,review,medium,150,Wednesday,Evening
Sprint Planning,coding,high,127,Wednesday,Afternoon
Design Mockup,planning,low,78,Thursday,Morning
Team Meeting,meeting,low,94,Sunday,Morning
Daily Standup,review,low,87,Saturday,Evening
Database Backup,coding,low,50,Thursday,Afternoon
Database Backup,review,high,99,Saturday,Afternoon
Client Call,review,medium,89,Wednesday,Morning
Unit Testing,testing,medium,88,Saturday,Evening
Database Backup,writing,medium,126,Tuesday,Evening
Documentation,meeting,high,119,Wednesday,Afternoon
Product Demo,planning,low,170,Monday,Evening
Team Meeting,writing,high,98,Saturday,Evening
Documentation,testing,medium,48,Friday,Morning
Design Mockup,coding,high,50,Sunday,Afternoon
Unit Testing,planning,medium,154,Wednesday,Morning
Unit Testing,writing,low,52,Friday,Evening
Bug Fixing,planning,medium,106,Tuesday,Morning
Database Backup,writing,low,96,Wednesday,Morning
Code Review,meeting,high,127,Tuesday,Afternoon
Client Call,testing,medium,109,Wednesday,Evening
Product Demo,meeting,medium,123,Tuesday,Morning
Product Demo,coding,high,58,Sunday,Evening
Team Meeting,meeting,low,72,Sunday,Morning
Database Backup,review,medium,138,Monday,Evening
Daily Standup,writing,high,92,Friday,Evening
Sprint Planning,writing,medium,162,Tuesday,Afternoon
Code Review,meeting,medium,97,Thursday,Afternoon
Sprint Planning,meeting,low,63,Tuesday,Morning
Team Meeting,meeting,medium,172,Saturday,Morning
Unit Testing,coding,high,166,Thursday,Evening
Sprint Planning,writing,high,21,Wednesday,Afternoon
Sprint Planning,review,medium,41,Wednesday,Morning
Client Call,review,low,54,Sunday,Morning
Product Demo,writing,medium,84,Saturday,Afternoon
Product Demo,planning,medium,133,Monday,Morning
Client Call,testing,medium,132,Sunday,Afternoon
Documentation,meeting,medium,96,Thursday,Morning
UI Testing,testing,medium,33,Wednesday,Evening
Documentation,writing,high,129,Monday,Afternoon
Client Call,testing,medium,115,Wednesday,Afternoon
Documentation,review,high,22,Thursday,Afternoon
Daily Standup,meeting,medium,75,Wednesday,Evening
Code Review,planning,low,140,Thursday,Afternoon
Sprint Planning,planning,medium,94,Friday,Morning
Code Review,coding,low,163,Monday,Evening
Team Meeting,coding,high,125,Saturday,Morning
Code Review,planning,medium,78,Monday,Morning
Sprint Planning,coding,low,100,Monday,Evening
Daily Standup,coding,high,39,Friday,Morning
Daily Standup,writing,high,169,Sunday,Afternoon
Bug Fixing,coding,medium,40,Tuesday,Morning
Documentation,coding,high,155,Wednesday,Morning
Client Call,meeting,medium,48,Sunday,Morning
Database Backup,testing,high,104,Monday,Evening
Design Mockup,review,medium,59,Wednesday,Afternoon
Client Call,meeting,medium,165,Tuesday,Evening
Documentation,writing,low,141,Tuesday,Afternoon
Design Mockup,testing,high,47,Thursday,Evening
Code Review,planning,medium,109,Saturday,Afternoon
Bug Fixing,coding,medium,51,Saturday,Afternoon
Client Call,review,high,156,Friday,Afternoon
Code Review,testing,medium,135,Thursday,Morning
Design Mockup,review,medium,142,Sunday,Afternoon
UI Testing,review,medium,128,Monday,Evening
UI Testing,review,medium,163,Friday,Evening
Database Backup,planning,high,105,Friday,Afternoon
Client Call,coding,high,69,Saturday,Afternoon
UI Testing,meeting,high,178,Monday,Morning
Database Backup,planning,high,32,Sunday,Afternoon
Design Mockup,meeting,high,101,Wednesday,Afternoon
Unit Testing,testing,high,153,Tuesday,Afternoon
Bug Fixing,testing,high,159,Thursday,Evening
Daily Standup,coding,high,103,Saturday,Morning
Sprint Planning,testing,high,178,Friday,Evening
Sprint Planning,planning,medium,33,Friday,Morning
Client Call,review,medium,28,Monday,Evening
UI Testing,planning,low,142,Sunday,Afternoon
Design Mockup,meeting,high,141,Sunday,Evening
Bug Fixing,writing,low,108,Saturday,Afternoon
UI Testing,planning,medium,33,Sunday,Evening
Product Demo,review,high,170,Thursday,Afternoon
Product Demo,writing,low,146,Wednesday,Afternoon
Unit Testing,planning,low,58,Wednesday,Evening
UI Testing,writing,low,119,Friday,Evening
Documentation,meeting,high,159,Sunday,Morning
Database Backup,review,low,48,Saturday,Evening
Team Meeting,planning,high,43,Tuesday,Afternoon
Unit Testing,testing,medium,154,Friday,Morning
Code Review,meeting,medium,80,Sunday,Morning
Team Meeting,coding,medium,37,Thursday,Morning
Team Meeting,writing,low,55,Saturday,Evening
Design Mockup,testing,low,158,Tuesday,Morning
Unit Testing,review,high,53,Thursday,Morning
Design Mockup,planning,medium,119,Sunday,Morning
Client Call,meeting,high,157,Monday,Morning
Sprint Planning,planning,low,78,Thursday,Afternoon
Database Backup,meeting,low,131,Thursday,Evening
Design Mockup,planning,low,164,Sunday,Morning
Documentation,coding,high,156,Friday,Afternoon
Documentation,review,low,46,Monday,Evening
Unit Testing,review,high,58,Friday,Afternoon
Sprint Planning,coding,high,28,Friday,Morning
Daily Standup,coding,low,87,Wednesday,Evening
Unit Testing,meeting,low,86,Thursday,Morning
Client Call,writing,low,53,Wednesday,Afternoon
Sprint Planning,writing,high,73,Thursday,Evening
UI Testing,meeting,high,127,Wednesday,Afternoon
Documentation,meeting,high,38,Tuesday,Evening
Unit Testing,writing,low,107,Sunday,Morning
Bug Fixing,testing,high,176,Wednesday,Afternoon
Database Backup,planning,low,75,Tuesday,Afternoon
Client Call,writing,high,34,Monday,Morning
Code Review,coding,high,104,Sunday,Afternoon
UI Testing,planning,low,160,Wednesday,Morning
Bug Fixing,coding,low,84,Sunday,Evening
Database Backup,coding,medium,70,Saturday,Morning
Design Mockup,testing,high,63,Monday,Afternoon
Unit Testing,coding,high,116,Saturday,Morning
Database Backup,planning,medium,73,Sunday,Evening
Team Meeting,meeting,low,62,Wednesday,Afternoon
Database Backup,writing,low,167,Thursday,Afternoon
Design Mockup,planning,high,97,Wednesday,Evening
Unit Testing,meeting,low,58,Saturday,Afternoon
Bug Fixing,writing,high,82,Wednesday,Evening
Sprint Planning,planning,low,101,Tuesday,Afternoon
Client Call,planning,high,153,Friday,Morning
Team Meeting,writing,low,173,Saturday,Morning
Team Meeting,testing,medium,69,Saturday,Afternoon
Daily Standup,planning,high,174,Friday,Morning
Client Call,review,low,131,Monday,Morning
Documentation,testing,low,141,Friday,Afternoon
Documentation,coding,high,128,Sunday,Afternoon
Daily Standup,writing,medium,26,Sunday,Afternoon
Sprint Planning,testing,medium,136,Thursday,Afternoon
Client Call,planning,high,91,Tuesday,Morning
Client Call,testing,low,95,Friday,Afternoon
Unit Testing,review,low,36,Tuesday,Morning
Bug Fixing,review,low,160,Thursday,Afternoon
Sprint Planning,writing,low,114,Monday,Morning
Documentation,review,medium,159,Tuesday,Evening
Sprint Planning,meeting,high,146,Sunday,Evening
Unit Testing,writing,medium,159,Sunday,Afternoon
UI Testing,meeting,low,63,Saturday,Afternoon
Team Meeting,writing,low,169,Friday,Morning
Database Backup,review,high,71,Wednesday,Afternoon
Client Call,planning,low,34,Monday,Afternoon
Product Demo,review,low,133,Sunday,Morning
Code Review,review,low,51,Sunday,Afternoon
Unit Testing,meeting,high,38,Thursday,Morning
Team Meeting,meeting,high,36,Tuesday,Morning
Client Call,planning,high,124,Sunday,Afternoon
Design Mockup,testing,low,53,Wednesday,Morning
Team Meeting,testing,high,60,Wednesday,Afternoon
Client Call,review,high,178,Saturday,Evening
Unit Testing,review,medium,70,Monday,Afternoon
UI Testing,writing,high,68,Monday,Morning
Sprint Planning,planning,low,147,Friday,Morning
Design Mockup,testing,high,56,Tuesday,Morning
Team Meeting,planning,high,30,Tuesday,Afternoon
Code Review,testing,low,170,Sunday,Morning
Product Demo,meeting,low,166,Friday,Afternoon
